Severity,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,Palm Beach,FL,82.0,82.0,76.0,30.03,9.0,13.0,0.0
2,Hudson,NJ,54.0,54.0,66.0,30.02,10.0,0.0,0.0
2,Denton,TX,84.0,84.0,67.0,29.2,10.0,18.0,0.0
4,Dallas,TX,42.0,37.0,89.0,29.48,2.0,9.0,0.05
2,Suffolk,MA,36.0,36.0,79.0,29.89,10.0,3.0,0.01
2,Orange,CA,59.0,59.0,57.0,30.0,10.0,8.0,0.0
2,Kern,CA,78.0,78.0,37.0,29.28,10.0,6.0,0.0
2,Broward,FL,61.0,61.0,83.0,30.16,10.0,6.0,0.0
2,San Joaquin,CA,55.0,55.0,89.0,29.94,10.0,5.0,0.0
2,Oklahoma,OK,100.0,100.0,29.0,28.62,10.0,13.0,0.0
1,Maricopa,AZ,71.0,71.0,31.0,28.82,10.0,13.0,0.0
3,Fulton,GA,55.0,55.0,89.0,28.67,2.0,21.0,0.12
2,Santa Clara,CA,42.0,42.0,82.0,30.12,8.0,0.0,0.0
2,Mecklenburg,NC,82.0,82.0,74.0,29.2,10.0,7.0,0.0
2,Kootenai,ID,24.1,13.7,88.0,29.9,4.0,10.4,0.03
2,Spartanburg,SC,52.0,52.0,41.0,29.01,10.0,12.0,0.0
2,Jackson,OR,59.0,59.0,32.0,28.49,10.0,0.0,0.0
2,DeKalb,GA,72.0,72.0,100.0,28.93,1.0,5.0,0.01
4,Pinellas,FL,78.0,78.0,93.0,29.83,10.0,14.0,0.0
3,Orange,FL,66.0,66.0,87.0,29.99,10.0,3.0,0.0
3,Henrico,VA,44.0,44.0,79.0,29.97,10.0,0.0,0.0
2,Oklahoma,OK,34.0,26.0,58.0,28.89,10.0,10.0,0.0
