State,County,Start_Lat,Start_Lng,count
IA,Fremont,40.811322,-95.805898,62
IA,Greene,42.034111,-94.184269,9
IA,Grundy,42.462791,-92.931901,17
IA,Guthrie,41.834876,-94.362995,9
IA,Hamilton,42.448865000000005,-93.633674,87
IA,Hancock,43.10471,-93.71582,9
IA,Hardin,42.46075,-93.04412,17
IA,Harrison,41.5499,-95.91729,60
IA,Henry,40.914757,-91.4151,20
IA,Howard,43.485525,-92.353309,9
IA,Humboldt,42.731812,-94.227081,5
IA,Ida,42.547562,-95.584419,11
IA,Iowa,41.687139,-91.980317,106
IA,Jackson,42.163928000000006,-90.675734,17
IA,Jasper,41.694557,-92.799438,207
IA,Jefferson,40.91377,-91.94856,24
IA,Johnson,41.687568,-91.79797,553
IA,Jones,42.080631,-91.2733,22
IA,Keokuk,41.363995,-91.954971,7
IA,Kossuth,43.38559,-94.08884,12
IA,Lee,40.639042,-91.556976,23
IA,Linn,42.019909000000006,-91.550224,618
IA,Louisa,41.102431,-91.180691,13
IA,Lucas,41.000111,-93.250763,13
IA,Lyon,43.43191,-96.17545,14
IA,Madison,41.49366,-94.23755,15
IA,Mahaska,41.389996,-92.65592,46
IA,Marion,41.423748,-93.302925,19
IA,Marshall,42.00728,-92.98687,34
IA,Mills,41.030621,-95.67099,56
IA,Mitchell,43.314913,-92.810679,7
IA,Monona,42.18264,-95.822571,20
IA,Monroe,41.146999,-92.908569,8
IA,Montgomery,41.145363,-95.214226,2
IA,Muscatine,41.415592,-91.088107,22
IA,O'Brien,43.186083,-95.703228,17
IA,Obrien,43.186035,-95.643944,2
IA,Osceola,43.358934000000005,-95.768248,10
IA,Page,40.731285,-95.007637,15
IA,Palo Alto,43.133195,-94.75785,17
IA,Plymouth,42.81956,-96.17463,40
IA,Pocahontas,42.82039,-94.67894,10
IA,Polk,41.597691,-93.718437,3545
IA,Pottawattamie,41.496861,-95.584419,769
IA,Poweshiek,41.695671,-92.447006,92
IA,Ringgold,40.711,-94.20514,7
IA,Sac,42.475274,-95.278854,19
IA,Scott,41.60389,-90.66676,352
IA,Shelby,41.57834,-95.33479,7
IA,Sioux,42.951895,-96.034909,29
IA,Story,41.877819,-93.571083,269
IA,Tama,41.96412,-92.38278,11
IA,Union,41.036059,-94.394065,10
IA,Wapello,41.009472,-92.388626,73
IA,Warren,41.227844,-93.781563,135
IA,Washington,41.424304,-91.551357,10
IA,Wayne,40.870536,-93.499483,5
IA,Webster,42.446091,-94.186302,7
IA,Winnebago,43.27012,-93.63352,7
IA,Winneshiek,43.320711,-92.014242,15
IA,Woodbury,42.488419,-96.399811,231
IA,Worth,43.284466,-93.349754,20
IA,Wright,42.571831,-93.549423,13
ID,Ada,43.594297,-116.448243,1375
ID,Adams,45.180899,-116.30158,30
ID,Bannock,42.998991,-112.412055,141
ID,Bear Lake,42.261151,-111.400788,16
ID,Benewah,47.346616,-116.723466,31
ID,Bingham,43.307319,-112.180701,117
ID,Blaine,43.390506,-113.650017,14
ID,Boise,44.061432,-116.123208,42
ID,Bonner,48.286487,-116.35182,57
ID,Bonneville,43.553268,-111.94406399999998,150
ID,Boundary,48.95143,-116.28029,35
ID,Butte,43.489888,-113.537104,9
ID,Camas,43.34242,-114.899205,3
ID,Canyon,43.65889,-116.657,625
ID,Caribou,42.655145000000005,-111.675579,5
